nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D,nuc_y,nuc_z_to_nuc_y_ratio
4444,6445,1532,250000,2408343.46755706,0,833.303916142391,1249.83066119876,0,107,126,0,0,5,12,12,5,15,15,250000,10
4153,6356,1784,250000,2543610.81354061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,10
4309,7402,1700,250000,2251413.22275571,0,781.090256530694,1173.45299006329,0,108,123,0,0,6,13,13,5,16,16,250000,10
4068,8620,1757,250000,2647228.44035398,1252.37416494283,908.699723520739,1356.95767276158,149,109,128,11,5,5,10,10,5,16,17,250000,10
4233,7568,1742,250000,2321300.20680637,0,807.02945743331,1210.09057329184,0,105,125,0,0,5,11,12,5,14,14,250000,10
4114,6886,1566,250000,2609411.31997346,0,0,1337.44866136707,0,0,128,0,0,0,0,0,5,17,17,250000,10
4056,8179,1652,250000,2385861.7862792,0,0,1235.61641400663,0,0,124,0,0,0,0,0,5,16,16,250000,10
4112,6773,1633,250000,2290486.78469019,0,831.58206524796,0,0,120,0,0,0,5,6,7,0,0,0,250000,10
4260,7100,1573,250000,2507913.48829171,0,867.477720828706,1296.02563309785,0,107,126,0,0,5,11,11,5,15,15,250000,10
4088,7571,1607,250000,2403887.74268524,0,830.435066659381,1243.74098803084,0,107,125,0,0,5,11,11,5,16,17,250000,10
4241,8759,1621,250000,2412091.1836592,0,0,1249.86212328245,0,0,126,0,0,0,0,0,5,16,16,250000,10
4460,7444,1769,250000,2452527.97860004,0,878.273315894379,1269.98870005813,0,124,126,0,0,5,5,5,5,16,16,250000,10
4102,7780,1707,250000,2622372.84865607,0,0,1361.44906243462,0,0,129,0,0,0,0,0,5,15,16,250000,10
4013,6335,1591,250000,2391426.50312044,0,829.427196898879,0,0,106,0,0,0,5,9,9,0,0,0,250000,10
4085,7352,1532,250000,2525020.28487758,0,869.663179643375,1302.18882008981,0,108,126,0,0,5,10,10,5,15,15,250000,10
4217,7517,1540,250000,2309108.61243363,0,803.428767986816,1203.37908572236,0,106,124,0,0,5,10,10,5,13,13,250000,10
4037,8322,1627,250000,2714627.3666588,0,185.81574247328,1390.75503219968,0,22,130,0,0,1,2,2,5,17,17,250000,10
4274,6435,1669,250000,2635670.42905761,0,0,1448.56643763401,0,0,187,0,0,0,0,0,5,5,5,250000,10
4363,7638,1551,250000,2333785.85001389,0,810.836585968001,0,0,106,0,0,0,5,11,12,0,0,0,250000,10
4144,7800,1720,250000,2266253.73262096,0,790.196092701352,1187.61808290347,0,104,124,0,0,5,11,11,5,13,13,250000,10
4382,7181,1663,250000,2294815.79022716,0,0,1196.99851083766,0,0,124,0,0,0,0,0,5,13,13,250000,10
4481,6433,1553,250000,2574451.53691673,0,914.130498750026,1320.80474664526,0,126,128,0,0,6,6,6,5,18,18,250000,10
4095,7676,1763,250000,2450142.0472476,0,877.681321407801,1268.2942205071,0,124,127,0,0,5,5,5,5,14,14,250000,10
4192,6181,1505,1000000,9236131.15259933,0,3307.40427528315,5105.35111057729,0,122,172,0,0,5,5,5,5,5,5,1000000,10
4269,6979,1626,1000000,9946316.59029382,0,3537.17381984774,5448.65608197696,0,125,179,0,0,5,5,5,5,5,5,1000000,10
4491,7528,1632,1000000,10502122.9348645,4860.392550809,3728.76578891997,5725.16846618659,182,126,185,5,5,5,5,5,5,5,5,1000000,10
4246,7240,1726,1000000,9531408.49136009,0,3403.14212901883,5242.004433734,0,121,176,0,0,5,5,5,5,5,5,1000000,10
4335,8094,1731,1000000,10429204.552336,0,3695.00594908216,5688.00792163299,0,126,184,0,0,5,5,5,5,5,5,1000000,10
4433,7937,1515,1000000,10346306.4697299,0,733.401016867359,5646.0112304234,0,25,183,0,0,1,1,1,5,5,5,1000000,10
4414,6809,1568,1000000,10283501.7056159,0,729.437734787714,5617.83828612605,0,25,183,0,0,1,1,1,5,5,5,1000000,10
4367,6531,1645,1000000,9655375.24629409,0,3443.25646753874,5303.45827884791,0,122,177,0,0,5,5,5,5,5,5,1000000,10
4340,6179,1766,1000000,9033512.32429603,0,3240.47549222885,4997.47897882138,0,118,168,0,0,5,5,5,5,5,5,1000000,10
4461,8116,1678,1000000,10000221.3926758,0,3555.27923564916,5471.57872088119,0,124,180,0,0,5,5,5,5,5,5,1000000,10
4372,7175,1764,1000000,10516251.6960495,0,3720.98664117753,5729.88743752447,0,126,185,0,0,5,5,5,5,5,5,1000000,10
4115,6943,1572,1000000,10887791.3657614,0,3846.35656456418,5919.10699412599,0,128,188,0,0,5,5,5,5,5,5,1000000,10
